Name,Industry,Sector,Headquarters,Founded,Notes
Gujarat State Fertilizers and Chemicals (GSFC),Basic materials,Fertilizers,Vadodara,1962,Fertilizers
Gujarat State Petroleum Corporation (GSPC),Oil & gas,Exploration & production,Ahmedabad,1979,Petrochemical
GVK,Conglomerate,-,Hyderabad,2005[3],"Energy, transportation, hospitality"
Haldiram's,Consumer goods,Food products,Bikaner,1937,Sweets and snacks
Hatsun Agro Product,Consumer goods,Food products,Chennai,1970,Arun Icecreams;Arokya Milk; Hatsun Daily;Ibaco; Oyalo; Santosa.
Havells,Industrials,Electrical components & equipment,Noida,1958,Electrical equipment
Hawkins Cookers,Consumer goods,Durable household products,Mumbai,1921,Cookware
HCL Technologies,Industrials,Business support services,Noida,1976,Consulting
HDFC Bank,Financials,Banks,Mumbai,1994,Bank
HDIL,Financials,Real estate holding & development,Mumbai,1996,Real estate development
Hero Cycles,Consumer goods,Recreational products,Ludhiana,1956,Bicycles
Hero FinCorp,Financials,Banks,New Delhi,1991,"Financing, part of Hero MotoCorp"
Hero MotoCorp,Consumer goods,Automobiles,Gurugram,1984,"Motorcycles, part of Hero Cycles"
HFCL,Telecom,"optical fiber, telecom equipment",New Delhi,1987,Telecom
Hindalco Industries,Basic materials,Aluminium,Mumbai,1958,Aluminium
Hindustan Aeronautics Limited,Industrials,Aerospace & defense,Bengaluru,1940,State-owned aircraft
Hindustan Construction Company,Financials,Real estate holding & development,Mumbai,1926,Real estate development
Hindustan Copper,Basic materials,Nonferrous metals,Kolkata,1967,State-run mining
Hindustan Motors,Consumer goods,Automobiles,Kolkata,1942,Part of CK Birla Group
Hindustan Petroleum,Oil & gas,Exploration & production,Mumbai,1974,State run oil & gas
Hindustan Shipyard,Industrials,Shipbuilding,Visakhapatnam,1941,Ship building
Hindustan Times,Consumer services,Publishing,New Delhi,1924,Daily newspaper
Hindustan Unilever,Consumer goods,FMCG,Mumbai,1933,Britain's Unilever plc owns 61.90%
Hindustan Zinc,Basic materials,Nonferrous metals,Udaipur,1966,"Mining, part of Vedanta Resources (UK)"
HLL Lifecare,Health care,Pharmaceuticals & life sciences,Thiruvananthapuram,1966,"State-owned condoms, contraceptives & surgical equipment manufacturing"
HMT,Industrials,General industry,Bengaluru,1953,State-owned manufacturing
Housing Development Finance Corporation (HDFC),Financials,Financial services,Mumbai,1977,Housing finance
iball,Consumer goods,Consumer electronics,Mumbai,2001,"Consumer items, computers"
ICICI Bank,Financials,Banks,Mumbai,1994,International bank
IDBI Bank,Financials,Banks,Mumbai,1964,State bank
Idea Cellular,Telecommunications,Mobile telecommunications,Mumbai,1995,Mobile network
Ideal Jawa,Consumer goods,Automobiles,Mysuru,1960,re-launched in 2022
IDFC First Bank,Financials,Banking,Mumbai,2015,part of IDFC
IIFL Holdings Limited,Financial,Financial services,Mumbai,1995,Financial services
Integral Coach Factory,Industrials,Railway coach,Chennai,1955,Parts of Indian Railways
Ircon International,Industrials,Railway construction,New Delhi,1976,Parts of Indian Railways
Indian Railway Finance Corporation,Financials,Railway finance,New Delhi,1976,Parts of Indian Railways
Infrastructure Development Finance Company (IDFC),Financials,Asset managers,Chennai,1997,"Finance, advice"
